,full_name,age,league,position,Current Club,Shooting,shot/goal conversion,Vision,Crossing,Dribbling,Possession,Interceptions,Tackling,Aerials won,pace,Defense,height_cm,weight_kg,preferred_foot,player_face_url,player_positions,club_name
2137,Ibrahima Sissoko,25,Ligue 1,Midfielder,Strasbourg,0.0,0.0,16.767676767676765,6.619385342789598,8.34597875569044,64.39133605755481,29.22535211267606,63.59550561797752,16.151729808361267,46.96969696969697,59.57291925557546,193.0,90.0,Right,https://cdn.sofifa.net/players/231/089/23_120.png,"CM, CDM, CB",Strasbourg
2138,Sean Longstaff,25,Premier League,Midfielder,Newcastle United,6.783102776330768,6.25,16.565656565656564,6.85579196217494,3.1866464339908953,74.96535040767372,20.070422535211268,36.17977528089887,6.694272759667252,45.45454545454545,44.78445466022829,180.0,65.0,Right,https://cdn.sofifa.net/players/237/161/23_120.png,CM,Newcastle United
2139,Bruno Langa,25,Liga NOS,Defender,GD Chaves,0.0,0.0,23.434343434343432,17.96690307328605,29.742033383915025,55.36905413986344,43.30985915492958,26.96629213483146,6.23299468310826,0.0,42.45829206279514,0.0,0.0,,,,
2140,Marcus Rashford,25,Premier League,Forward,Manchester United,48.99170166288301,21.03174603174603,19.595959595959595,3.7825059101654843,23.672230652503796,66.5355655887223,7.746478873239438,13.93258426966292,4.617229234244361,86.36363636363637,26.66236127791659,186.0,70.0,Right,https://cdn.sofifa.net/players/231/677/23_120.png,"LW, LM, ST",Manchester United
2141,Mathías Olivera Miramontes,25,Serie A,Defender,Napoli,25.94462575362037,28.205128205128204,25.656565656565654,7.801418439716311,6.676783004552353,83.92405438017948,38.73239436619719,52.13483146067415,14.196103699211644,65.15151515151516,61.959401770333386,184.0,78.0,Left,https://cdn.sofifa.net/players/240/716/23_120.png,"LB, LWB",Napoli
2142,Elvis Rexhbecaj,25,Bundesliga,Midfielder,Augsburg,0.0,0.0,8.484848484848484,0.9456264775413711,2.276176024279211,47.23728108392075,22.535211267605636,39.10112359550561,9.689339490715145,0.0,39.73927310910945,0.0,0.0,,,,
2143,Nordi Mukiele,25,Ligue 1,Defender,Paris Saint Germain,0.0,0.0,15.959595959595958,3.7825059101654843,7.283763277693475,85.39081812383162,33.45070422535211,53.483146067415724,13.012620449313472,71.21212121212122,61.27139947859871,187.0,84.0,Right,https://cdn.sofifa.net/players/226/166/23_120.png,"RWB, CB",Paris Saint Germain
2144,Chris Mepham,25,Premier League,Defender,AFC Bournemouth,0.0,0.0,3.2323232323232323,0.0,0.606980273141123,77.22267104135972,43.30985915492958,41.348314606741575,16.928698066658537,40.90909090909091,56.071046822682874,190.0,75.0,Right,https://cdn.sofifa.net/players/233/201/23_120.png,CB,AFC Bournemouth
2148,Federico Dimarco,25,Serie A,Defender,Inter,18.325510982779182,10.69182389937107,52.12121212121212,65.24822695035459,3.3383915022761763,70.33517941364931,27.46478873239437,31.011235955056176,1.3455905235651233,69.6969696969697,43.21321878891172,175.0,75.0,Left,https://cdn.sofifa.net/players/226/268/23_120.png,"LWB, LM, CB",Inter
2149,Florian Müller,25,Bundesliga,Goalkeeper,Stuttgart,0.0,0.0,2.222222222222222,0.0,0.0,67.1463882046285,0.0,0.0,1.642249954783867,0.0,16.85946709368918,0.0,0.0,,,,
2150,Noussair Mazraoui,25,Bundesliga,Defender,FC Bayern München,15.882386988481796,16.0,30.5050505050505,9.929078014184395,22.91350531107739,83.53971730031282,29.577464788732396,54.60674157303371,10.47853515925527,75.75757575757575,60.02261174392042,183.0,65.0,Right,https://cdn.sofifa.net/players/236/401/23_120.png,RB,FC Bayern München
2151,Christopher Nkunku,25,Bundesliga,Midfielder,RB Leipzig,69.41750510745182,28.89733840304183,37.77777777777778,6.85579196217494,23.97572078907436,73.29411466301315,13.380281690140848,5.393258426966291,5.921449494318213,86.36363636363637,25.904491955126904,175.0,73.0,Right,https://cdn.sofifa.net/players/232/411/23_120.png,"CF, CAM, ST",RB Leipzig
2152,Viktor Tsygankov,25,La Liga,Forward,Girona FC,27.183316191824616,23.076923076923077,41.414141414141405,25.53191489361702,13.657056145675266,56.152877183061435,12.67605633802817,13.48314606741573,3.289446445576119,0.0,25.26460203928084,0.0,0.0,,,,
2154,Bruno Guimarães,25,Premier League,Midfielder,Newcastle United,21.071017037255142,18.84057971014493,28.48484848484848,2.3640661938534278,20.94081942336874,78.57666414654804,41.54929577464789,60.674157303370784,4.8772121600482485,57.57575757575758,65.79545558949614,182.0,74.0,Right,https://cdn.sofifa.net/players/247/851/23_120.png,"CM, CDM",Newcastle United
2155,Julian Ryerson,25,Bundesliga,Defender,Borussia Dortmund,6.04073693151658,5.128205128205128,16.363636363636363,16.548463356973993,17.450682852807283,70.89262414659783,27.46478873239437,44.04494382022472,4.853619986332555,0.0,50.269664870781966,0.0,0.0,,,,
2156,Robert Sánchez,25,Premier League,Goalkeeper,Brighton & Hove Albion,0.0,0.0,0.0,0.0,0.0,58.476156070253865,4.577464788732395,0.898876404494382,2.3741222172418945,0.0,16.54717134549288,197.0,85.0,Right,https://cdn.sofifa.net/players/228/789/23_120.png,GK,Brighton & Hove Albion
2158,Ryan Yates,25,Premier League,Midfielder,Nottingham Forest,0.0,0.0,6.8686868686868685,1.1820330969267139,2.276176024279211,65.80846360797295,19.014084507042256,42.92134831460674,11.452885084340997,50.0,45.589611230478056,190.0,77.0,Right,https://cdn.sofifa.net/players/235/642/23_120.png,"CDM, CM",Nottingham Forest
2160,Anderson Oliveira Silva,25,Liga NOS,Forward,Vitória Guimarães,24.610208140171085,10.18867924528302,6.8686868686868685,0.0,15.477996965098635,39.586352517364304,4.929577464788734,7.640449438202247,11.952200355597611,0.0,15.288193981993555,0.0,0.0,,,,
2161,Marco Richter,25,Bundesliga,Forward,Hertha BSC,28.786826416623253,14.499999999999998,20.808080808080806,18.439716312056735,24.4309559939302,45.55666707423262,36.26760563380282,41.79775280898876,4.573692870815004,66.66666666666667,45.22240312273473,176.0,74.0,Right,https://cdn.sofifa.net/players/238/068/23_120.png,"RM, CAM, LM",Hertha BSC
2163,Julian Lelieveld,25,Eredivisie,Defender,RKC Waalwijk,19.575468909190604,22.580645161290324,17.777777777777775,5.673758865248226,5.614567526555387,74.02271114559784,40.845070422535215,50.337078651685395,6.898566986932231,56.06060606060606,58.93784363121442,178.0,69.0,Right,https://cdn.sofifa.net/players/229/907/23_120.png,RWB,RKC Waalwijk
2164,Aaron Wan-Bissaka,25,Premier League,Defender,Manchester United,0.0,0.0,18.989898989898986,4.491725768321513,16.23672230652504,76.17907661375483,44.014084507042256,54.8314606741573,5.866812164374121,77.27272727272727,62.92416528939714,183.0,72.0,Right,https://cdn.sofifa.net/players/229/880/23_120.png,RB,Manchester United
2165,Mostafa Mohamed,25,Ligue 1,Forward,Nantes,36.42941812297096,18.04878048780488,15.15151515151515,1.1820330969267139,14.871016691957513,35.787617756783945,16.549295774647888,18.87640449438202,27.966250846662152,59.09090909090909,24.334987414767408,185.0,78.0,Right,https://cdn.sofifa.net/players/254/247/23_120.png,ST,Nantes
2167,Ismael Bennacer,25,Serie A,Midfielder,AC Milan,17.193433084229113,16.9811320754717,39.39393939393939,23.16784869976359,19.575113808801216,87.57486315381846,40.49295774647887,60.674157303370784,7.6689974303586235,63.63636363636364,67.90806004910047,175.0,70.0,Left,https://cdn.sofifa.net/players/226/754/22_120.png,"CM, CDM",AC Milan
